id,ext,agr,con,ner,open,about,activities,books,city,followers_count,friends_count,groups,interests,is_closed,movies,music,quotes,relation,sex,status,tv,video_count,wall_count
167951127,0.67,0.69,0.53,0.56,0.77,0,0,0,1,79.0,261.0,75,0,0,0,0,0,0.0,2,0,0,26.0,0.0
415219237,0.5,0.73,0.73,0.67,0.67,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0.0,2,35,0,0.0,0.0
276339052,0.7,0.67,0.87,0.87,1.0,0,0,0,502,386.0,815.0,1026,0,0,0,0,645,0.0,2,6,0,282.0,21.0
390377437,0.73,0.93,0.8,0.33,0.73,0,0,0,0,1.0,32.0,3,0,0,0,0,0,0.0,2,0,0,1.0,3.0
179848802,0.7,0.9,0.67,0.9,0.93,0,0,0,144,29.0,145.0,1,0,0,0,0,0,6.0,2,8,0,62.0,22.0
530328577,0.8,0.8,0.5,0.9,0.8,0,0,0,59,0.0,63.0,10,0,0,0,0,0,0.0,2,31,0,3.0,5.0
450101882,0.73,0.87,0.77,0.67,0.53,0,0,0,105,7.0,107.0,97,0,0,0,0,0,0.0,2,25,0,1.0,91.0
467020944,0.7,0.57,0.73,0.87,0.83,0,0,0,2722627,5.0,136.0,72,0,0,0,0,0,4.0,2,20,0,0.0,11.0
221315028,0.53,0.77,0.57,0.9,0.7,0,0,0,794,50.0,43.0,428,0,0,0,0,0,0.0,2,0,0,440.0,0.0
202708244,0.67,0.67,0.57,0.93,0.77,0,0,0,1082110,1454.0,821.0,1680,0,0,0,0,0,0.0,1,51,0,0.0,8664.0
174514127,0.67,0.8,0.83,0.73,0.9,0,0,0,0,0.0,170.0,101,0,0,1,4,132,0.0,2,0,0,7.0,5.0
483276871,0.9,0.7,0.4,0.9,0.73,0,0,0,0,106.0,95.0,288,0,0,0,0,0,0.0,1,1,0,9.0,9.0
420259540,0.67,0.63,0.9,0.57,0.7,0,0,0,134,0.0,0.0,0,0,1,0,0,0,0.0,1,14,0,0.0,0.0
250659348,0.83,0.7,0.63,0.57,0.7,1,6,1,1,54.0,139.0,16,1,0,1,3,1,5.0,2,25,1,26.0,1.0
511476069,0.73,0.77,0.73,0.63,0.83,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0.0,2,29,0,0.0,0.0
519484620,0.67,0.8,0.73,0.77,0.7,135,1,3,73,0.0,6.0,6,5,0,1,1,88,0.0,1,30,18,10.0,5.0
334555595,0.53,0.67,0.7,0.53,0.53,8,1,1,3193,147.0,46.0,493,1,0,1,1,40,0.0,2,2,39,0.0,69.0
526088524,0.73,0.7,0.57,0.77,0.73,0,0,0,3858,13.0,51.0,36,0,0,0,0,0,0.0,1,26,0,4.0,33.0
214823477,0.43,0.83,0.47,0.8,0.53,0,0,0,72,307.0,25.0,252,0,0,0,0,0,0.0,1,20,0,127.0,439.0
248235545,0.83,0.73,0.8,0.8,0.8,0,0,0,16619,1.0,2.0,3,0,0,0,0,0,0.0,2,0,0,1.0,0.0
178093036,0.77,0.73,0.77,0.7,0.77,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0.0,1,0,0,0.0,0.0
556610697,0.77,0.77,0.57,0.8,0.77,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0.0,1,3,0,0.0,0.0
253419693,0.4,0.57,0.83,0.5,0.4,0,0,0,1263,72.0,70.0,165,0,0,1,2,19,0.0,2,0,12,31.0,1130.0
